"","nameTeam","namePlayer","number of games","stat","mean","standard deviation","median","trimmed","mad","min","max","range","skew","kurtosis","se","get this number or more"
"1452","Brooklyn Nets","Bruce Brown",11,"threes",0.1818,0.4045,0,0.1111,0,0,1,1,1.4301,0.0762,0.122,-0.2227
"1453","Houston Rockets","Bruno Caboclo",6,"threes",0,0,0,0,0,0,0,0,NA,NA,0,0
"1454","Atlanta Hawks","Bruno Fernando",8,"threes",0,0,0,0,0,0,0,0,NA,NA,0,0
"1455","Milwaukee Bucks","Bryn Forbes",14,"threes",1.5,1.286,1.5,1.4167,1.4826,0,4,4,0.3023,-1.1752,0.3437,0.214
"1456","Sacramento Kings","Buddy Hield",14,"threes",3.8571,1.8337,3,3.6667,1.4826,2,8,6,0.6808,-0.6486,0.4901,2.0234
"1457","Portland Trail Blazers","CJ Elleby",6,"threes",0.3333,0.5164,0,0.3333,0,0,1,1,0.5379,-1.9583,0.2108,-0.1831
"1458","Portland Trail Blazers","CJ McCollum",13,"threes",4.8462,1.9081,4,4.7273,1.4826,2,9,7,0.5338,-0.5893,0.5292,2.9381
"1459","Charlotte Hornets","Caleb Martin",13,"threes",0.6154,0.9608,0,0.4545,0,0,3,3,1.2595,0.3605,0.2665,-0.3454
"1460","Atlanta Hawks","Cam Reddish",11,"threes",1.7273,1.3484,2,1.6667,1.4826,0,4,4,0.4486,-1.0193,0.4066,0.3789
"1461","Phoenix Suns","Cameron Johnson",12,"threes",2.5,1.0871,2,2.5,1.4826,1,4,3,0.1946,-1.4636,0.3138,1.4129
"1462","Phoenix Suns","Cameron Payne",10,"threes",1,0.9428,1,0.875,0.7413,0,3,3,0.7159,-0.4688,0.2981,0.0572
"1463","Brooklyn Nets","Caris LeVert",12,"threes",1.8333,1.9462,2,1.5,0.7413,0,7,7,1.2987,1.412,0.5618,-0.1129
"1464","Portland Trail Blazers","Carmelo Anthony",13,"threes",1.7692,1.3009,2,1.7273,1.4826,0,4,4,0.392,-1.0438,0.3608,0.4683
"1465","Boston Celtics","Carsen Edwards",4,"threes",0.25,0.5,0,0.25,0,0,1,1,0.75,-1.6875,0.25,-0.25
"1466","Indiana Pacers","Cassius Stanley",6,"threes",0.1667,0.4082,0,0.1667,0,0,1,1,1.3608,-0.0833,0.1667,-0.2415
"1467","Washington Wizards","Cassius Winston",1,"threes",0,NA,0,0,0,0,0,0,NA,NA,NA,NA
"1468","Cleveland Cavaliers","Cedi Osman",13,"threes",2.3077,1.7505,3,2.2727,1.4826,0,5,5,-0.0906,-1.6172,0.4855,0.5572
"1469","Chicago Bulls","Chandler Hutchison",4,"threes",0.25,0.5,0,0.25,0,0,1,1,0.75,-1.6875,0.25,-0.25
"1470","Sacramento Kings","Chimezie Metu",5,"threes",0.2,0.4472,0,0.2,0,0,1,1,1.0733,-0.92,0.2,-0.2472
"1471","Toronto Raptors","Chris Boucher",13,"threes",1.7692,1.3009,2,1.6364,1.4826,0,5,5,0.8113,0.543,0.3608,0.4683
"1472","Brooklyn Nets","Chris Chiozza",6,"threes",0.6667,1.2111,0,0.6667,0,0,3,3,1.0843,-0.6412,0.4944,-0.5444
"1473","Phoenix Suns","Chris Paul",12,"threes",0.8333,0.8348,1,0.8,1.4826,0,2,2,0.2705,-1.6324,0.241,-0.00149999999999995
"1474","Miami Heat","Chris Silva",6,"threes",0.1667,0.4082,0,0.1667,0,0,1,1,1.3608,-0.0833,0.1667,-0.2415
"1475","Houston Rockets","Christian Wood",11,"threes",1.7273,1.6787,1,1.5556,1.4826,0,5,5,0.6203,-1.0361,0.5062,0.0486
"1476","Orlando Magic","Chuma Okeke",5,"threes",0.4,0.8944,0,0.4,0,0,2,2,1.0733,-0.92,0.4,-0.4944
"1477","Atlanta Hawks","Clint Capela",11,"threes",0,0,0,0,0,0,0,0,NA,NA,0,0
"1478","Chicago Bulls","Coby White",14,"threes",2.3571,1.4991,2,2.4167,2.2239,0,4,4,-0.1895,-1.5123,0.4006,0.858
